date Mon Aug 15 09:21:53 am 2005
base dec  timestamps relative
internal events logged
   2.202579750    EnvMotorSwitch := 1
   1.107420250    EnvLightSwitch := 1
   1.660000000    EnvSpeedEntry := 40
   0.020000000    EnvSpeedEntry := 70
   0.011867750    EnvSpeedEntry := 70
   0.018132250    EnvSpeedEntry := 110
   0.020000000    EnvSpeedEntry := 130
   0.010000000    EnvSpeedEntry := 130
   0.010000000    EnvSpeedEntry := 140
   0.030000000    EnvSpeedEntry := 180
   0.020000000    EnvSpeedEntry := 220
   0.020000000    EnvSpeedEntry := 290
   0.010000000    EnvSpeedEntry := 380
   0.010000000    EnvSpeedEntry := 380
   0.010000000    EnvSpeedEntry := 450
   0.020000000    EnvSpeedEntry := 490
   0.010000000    EnvSpeedEntry := 510
   0.060000000    EnvSpeedEntry := 510
   0.030000000    EnvSpeedEntry := 520
   0.050000000    EnvSpeedEntry := 540
   0.020000000    EnvSpeedEntry := 540
   0.000000000    EnvSpeedEntry := 560
   0.020000000    EnvSpeedEntry := 580
   0.010000000    EnvSpeedEntry := 650
   0.030000000    EnvSpeedEntry := 720
   0.010000000    EnvSpeedEntry := 810
   0.010000000    EnvSpeedEntry := 870
   0.020000000    EnvSpeedEntry := 870
   0.010000000    EnvSpeedEntry := 920
   0.010000000    EnvSpeedEntry := 940
   0.050000000    EnvSpeedEntry := 960
   0.020000000    EnvSpeedEntry := 990
   0.010000000    EnvSpeedEntry := 990
   0.010000000    EnvSpeedEntry := 1060
   0.010000000    EnvSpeedEntry := 1150
   0.020000000    EnvSpeedEntry := 1210
   0.020000000    EnvSpeedEntry := 1240
   0.010000000    EnvSpeedEntry := 1280
   0.030000000    EnvSpeedEntry := 1280
   0.020000000    EnvSpeedEntry := 1300
   0.040000000    EnvSpeedEntry := 1370
   0.020000000    EnvSpeedEntry := 1460
   0.010000000    EnvSpeedEntry := 1710
   0.010000000    EnvSpeedEntry := 1710
   0.010000000    EnvSpeedEntry := 1800
   0.020000000    EnvSpeedEntry := 1860
   0.010000000    EnvSpeedEntry := 1890
   0.020000000    EnvSpeedEntry := 1910
   0.040000000    EnvSpeedEntry := 1910
   0.060000000    EnvSpeedEntry := 1970
   0.020000000    EnvSpeedEntry := 2060
   0.020000000    EnvSpeedEntry := 2060
   0.000000000    EnvSpeedEntry := 2160
   0.020000000    EnvSpeedEntry := 2260
   0.010000000    EnvSpeedEntry := 2310
   0.030000000    EnvSpeedEntry := 2330
   0.040000000    EnvSpeedEntry := 2330
   0.040000000    EnvSpeedEntry := 2360
   0.020000000    EnvSpeedEntry := 2380
   0.010000000    EnvSpeedEntry := 2420
   0.020000000    EnvSpeedEntry := 2490
   0.010000000    EnvSpeedEntry := 2490
   0.010000000    EnvSpeedEntry := 2540
   0.010000000    EnvSpeedEntry := 2580
   0.020000000    EnvSpeedEntry := 2600
   0.060000000    EnvSpeedEntry := 2600
   0.060000000    EnvSpeedEntry := 2630
   0.020000000    EnvSpeedEntry := 2670
   0.010000000    EnvSpeedEntry := 2720
   0.010000000    EnvSpeedEntry := 2720
   0.010000000    EnvSpeedEntry := 2780
   0.020000000    EnvSpeedEntry := 2810
   0.030000000    EnvSpeedEntry := 2830
   0.040000000    EnvSpeedEntry := 2830
   0.100000000    EnvSpeedEntry := 2830
   0.100000000    EnvSpeedEntry := 2830
   0.100000000    EnvSpeedEntry := 2830
   0.020000000    EnvSpeedEntry := 2850
   0.080000000    EnvSpeedEntry := 2850
   0.100000000    EnvSpeedEntry := 2850
   0.100000000    EnvSpeedEntry := 2850
   0.100000000    EnvSpeedEntry := 2850
   0.100000000    EnvSpeedEntry := 2850
   2.180000000    EnvTurnSignal := 1
   0.920000000    EnvSpeedEntry := 2810
   0.020000000    EnvSpeedEntry := 2780
   0.010000000    EnvSpeedEntry := 2760
   0.022556250    EnvSpeedEntry := 2740
   0.017443750    EnvSpeedEntry := 2720
   0.020000000    EnvSpeedEntry := 2710
   0.010000000    EnvSpeedEntry := 2690
   0.040000000    EnvSpeedEntry := 2670
   0.020000000    EnvSpeedEntry := 2650
   0.030000000    EnvSpeedEntry := 2630
   0.050000000    EnvSpeedEntry := 2620
   0.100000000    EnvSpeedEntry := 2600
   0.020000000    EnvSpeedEntry := 2580
   0.030000000    EnvSpeedEntry := 2560
   0.062564250    EnvSpeedEntry := 2540
   0.007435750    EnvSpeedEntry := 2530
   0.020000000    EnvSpeedEntry := 2510
   0.030000000    EnvSpeedEntry := 2490
   0.020000000    EnvSpeedEntry := 2470
   0.030000000    EnvSpeedEntry := 2440
   0.010000000    EnvSpeedEntry := 2400
   0.010000000    EnvSpeedEntry := 2350
   0.020000000    EnvSpeedEntry := 2310
   0.020000000    EnvSpeedEntry := 2290
   0.010000000    EnvSpeedEntry := 2270
   0.030000000    EnvSpeedEntry := 2260
   0.010000000    EnvSpeedEntry := 2240
   0.020000000    EnvSpeedEntry := 2220
   0.010000000    EnvSpeedEntry := 2180
