date Tue Apr 20 03:55:45 pm 2010
base dec  timestamps relative
internal events logged
   1.360000    CoffeeMaker_Power := 1
   1.260000    SteamOven_Power := 1
   0.700000    TrashCompactor_Power := 1
   4.840000    CoffeeMaker_Insert := 1
   0.110000    CoffeeMaker_Insert := 0
   2.930000    CoffeeMaker_Brew := 1
   4.290000    SteamOven_Insert := 1
   0.080000    SteamOven_Insert := 0
   2.000000    SteamOven_Time := 3000
   2.130000    SteamOven_Temp := 50
   6.780000    TrashCompactor_Insert := 1
   0.100000    TrashCompactor_Insert := 0
  50.900000    TrashCompactor_Insert := 1
   0.160000    TrashCompactor_Insert := 0
  50.000000    CoffeeMaker_Insert := 1
   0.110000    CoffeeMaker_Insert := 0
  10.070000    CoffeeMaker_Insert := 1
   0.110000    CoffeeMaker_Insert := 0
   6.150000    CoffeeMaker_HotWater := 1
  13.460000    CoffeeMaker_Insert := 1
   0.090000    CoffeeMaker_Insert := 0
   6.670000    CoffeeMaker_Insert := 1
   0.110000    CoffeeMaker_Insert := 0
   2.820000    CoffeeMaker_Brew := 1
   5.970000    TrashCompactor_Insert := 1
   0.090000    TrashCompactor_Insert := 0
