date Fri Oct 20 09:10:00 am 2006
base dec  timestamps relative
internal events logged
   1.000000    SV: 2 0 0 ::PowerTrain::ASRError = 0
   0.000050    SV: 2 0 0 ::PowerTrain::ABSError = 0
   0.000050    SV: 2 0 0 ::PowerTrain::BrakeError = 0
   0.000050    SV: 2 0 0 ::PowerTrain::ESPError = 0
   3.000000    SV: 2 0 0 ::PowerTrain::GearUp = 1
   0.170000    SV: 2 0 0 ::PowerTrain::GearUp = 0
   1.040000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 1
   1.820000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 0
   0.760000    SV: 2 0 0 ::PowerTrain::GearUp = 1
   0.110000    SV: 2 0 0 ::PowerTrain::GearUp = 0
   0.880000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 1
   1.090000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 0
   0.620000    SV: 2 0 0 ::PowerTrain::GearUp = 1
   0.115000    SV: 2 0 0 ::PowerTrain::GearUp = 0
   0.955000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 1
   1.580000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 0
   0.730000    SV: 2 0 0 ::PowerTrain::GearUp = 1
   0.150000    SV: 2 0 0 ::PowerTrain::GearUp = 0
   0.855448    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 1
   2.434551    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 0
   0.720000    SV: 2 0 0 ::PowerTrain::GearUp = 1
   0.205000    SV: 2 0 0 ::PowerTrain::GearUp = 0
   0.835000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 1
   8.066492    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 0
   0.540000    SV: 2 0 0 ::PowerTrain::BrakeActive = 1
   0.863507    SV: 2 0 0 ::PowerTrain::BrakeActive = 0
   0.650000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 1
   7.160000    SV: 2 0 0 ::PowerTrain::ASRError = 1
   0.500000    SV: 2 0 0 ::PowerTrain::ASRError = 0
   0.700000    SV: 2 0 0 ::PowerTrain::ASRError = 1
   0.500000    SV: 2 0 0 ::PowerTrain::ASRError = 0
   0.510000    SV: 2 0 0 ::PowerTrain::ASRError = 1
   0.500000    SV: 2 0 0 ::PowerTrain::ASRError = 0
   0.525000    SV: 2 0 0 ::PowerTrain::ASRError = 1
   0.850000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 0
   0.010000    SV: 2 0 0 ::PowerTrain::ASRError = 0
   1.210000    SV: 2 0 0 ::PowerTrain::BrakeActive = 1
   0.525000    SV: 2 0 0 ::PowerTrain::ABSError = 1
   0.500000    SV: 2 0 0 ::PowerTrain::ABSError = 0
   0.310000    SV: 2 0 0 ::PowerTrain::ABSError = 1
   0.500000    SV: 2 0 0 ::PowerTrain::ABSError = 0
   3.435000    SV: 2 0 0 ::PowerTrain::BrakeActive = 0
   0.610000    SV: 2 0 0 ::PowerTrain::GearDown = 1
   0.130000    SV: 2 0 0 ::PowerTrain::GearDown = 0
   0.350000    SV: 2 0 0 ::PowerTrain::GearDown = 1
   0.130000    SV: 2 0 0 ::PowerTrain::GearDown = 0
   0.290000    SV: 2 0 0 ::PowerTrain::GearDown = 1
   0.126492    SV: 2 0 0 ::PowerTrain::GearDown = 0
   0.323507    SV: 2 0 0 ::PowerTrain::GearDown = 1
   0.100000    SV: 2 0 0 ::PowerTrain::GearDown = 0
   0.450000    SV: 2 0 0 ::PowerTrain::GearDown = 1
   0.126492    SV: 2 0 0 ::PowerTrain::GearDown = 0
   1.013507    SV: 2 0 0 ::PowerTrain::GearDown = 1
   0.120000    SV: 2 0 0 ::PowerTrain::GearDown = 0
   1.510000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 1
   2.705000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 0
   0.905000    SV: 2 0 0 ::PowerTrain::BrakeActive = 1
   0.620000    SV: 2 0 0 ::PowerTrain::BrakeActive = 0
   0.366492    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 1
   1.290000    SV: 2 0 0 ::PowerTrain::AcceleratorPedal = 0
   0.473507    SV: 2 0 0 ::PowerTrain::BrakeActive = 1
   1.776492    SV: 2 0 0 ::PowerTrain::BrakeActive = 0
   1.603507    SV: 2 0 0 ::PowerTrain::GearUp = 1
   0.140000    SV: 2 0 0 ::PowerTrain::GearUp = 0
   2.000000    SV: 2 0 0 ::PowerTrain::BatteryError = 1
   0.800000    SV: 2 0 0 ::PowerTrain::BatteryError = 0
