date Fri Nov 14 10:24:14 am 2008
base dec  timestamps relative
internal events logged
   0.200000    SV: 2 0 0 ::DiagTester::EnableTesterPresent = 1
   0.401000    SV: 2 0 0 ::DiagTester::ClearFaultMemoryDisplay = 1
   0.001000    SV: 2 0 0 ::DiagTester::ClearFaultMemoryDisplay = 0
   0.401000    SV: 2 0 0 ::DiagTester::ResetDoorContacts = 1
   0.001000    SV: 2 0 0 ::DiagTester::ResetDoorContacts = 0
   0.500000    SV: 2 0 0 ::DiagTester::ClearFaultMemory = 1
   0.001000    SV: 2 0 0 ::DiagTester::ClearFaultMemory = 0
   1.000000    SV: 2 0 0 ::DiagTester::GotoExtendedSession = 1
   0.001000    SV: 2 0 0 ::DiagTester::GotoExtendedSession = 0
   1.000000    SV: 2 0 0 ::DiagTester::ReadDoorContacts = 1
   0.001000    SV: 2 0 0 ::DiagTester::ReadDoorContacts = 0
   1.000000    SV: 2 0 0 ::DiagTester::StatusRearLeftDoor = 1
   0.001000    SV: 2 0 0 ::DiagTester::StatusFrontRightDoor = 1
   1.500000    SV: 2 0 0 ::DiagTester::WriteDoorContacts = 1
   0.001000    SV: 2 0 0 ::DiagTester::WriteDoorContacts = 0
   1.000000    SV: 2 0 0 ::DiagTester::ReadSerialNumber = 1
   0.001000    SV: 2 0 0 ::DiagTester::ReadSerialNumber = 0
   1.000000    EnvFM_SelectDTC := 4
   0.100000    EnvFM_AddSnapshot := 1
   0.001000    EnvFM_AddSnapshot := 0
   0.500000    EnvFM_SelectDTC := 2
   0.100000    EnvFM_AddSnapshot := 1
   0.001000    EnvFM_AddSnapshot := 0
   1.000000    SV: 2 0 0 ::DiagTester::ReadFaultMemory = 1
   0.001000    SV: 2 0 0 ::DiagTester::ReadFaultMemory = 0
   2.000000    SV: 2 0 0 ::DiagTester::GotoProgrammingSession = 1
   0.001000    SV: 2 0 0 ::DiagTester::GotoProgrammingSession = 0
   1.000000    SV: 2 0 0 ::DiagTester::WriteSerialNumber = 1
   0.001000    SV: 2 0 0 ::DiagTester::WriteSerialNumber = 0
   1.000000    SV: 2 0 0 ::DiagTester::GotoDefaultSession = 1
   0.001000    SV: 2 0 0 ::DiagTester::GotoDefaultSession = 0
   0.200000    SV: 2 0 0 ::DiagTester::EnableTesterPresent = 0
   1.500000    SV: 2 0 0 ::DiagTester::ReadEngineStatusCyclic = 1
   0.750000    SV: 2 0 0 ::DiagTester::ReadADValuesCyclic = 1
   5.000000    SV: 2 0 0 ::DiagTester::ReadADValuesCyclic = 0
   0.750000    SV: 2 0 0 ::DiagTester::ReadEngineStatusCyclic = 0
   1.000000    EnvCtrlStartTest1 := 1
   4.001000    EnvCtrlStartTest1 := 0
