date Thu Apr 15 11:36:03 am 2010
base dec  timestamps relative
internal events logged
   8.580000    SV: 2 0 0 ::ModelStimuli::Susp_Ctrl_Select = 1
   1.430000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.05
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.1
   0.220000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.15
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.2
   0.220000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.25
   0.220000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.3
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.35
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.4
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.45
   4.400000    SV: 2 0 0 ::ModelStimuli::Driver_Gear = 2
   1.430000    SV: 2 0 0 ::ModelStimuli::Driver_Gear = 3
   1.760000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.45
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.4
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.35
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Accelerator = 0.3
   2.530000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.00739816
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0123982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0163982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0213982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0313982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0353982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0403982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0453982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0503982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0553982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0593982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0643982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0743982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0783982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0833982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0883982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0933982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0973982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.112398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.117398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.121398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.131398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.136398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.140398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.145398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.150398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.155398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.160398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.164398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.169398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.174398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.179398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.183398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.188398
   3.740000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.183398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.174398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.169398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.160398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.150398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.140398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.126398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.112398
