date Mon Okt 17 16:58:45 2005
base dec  timestamps relative
internal events logged
   0.790000    EvTECU_ShiftUp := 1
   0.050000    EvTECU_ShiftUp := 0
   0.890000    EvEMS_Accelerator := 2
   0.020000    EvEMS_Accelerator := 3
   0.001280    EvEMS_Accelerator := 4
   0.008720    EvEMS_Accelerator := 5
   0.010000    EvEMS_Accelerator := 7
   0.010000    EvEMS_Accelerator := 9
   0.010000    EvEMS_Accelerator := 12
   0.001280    EvEMS_Accelerator := 15
   0.015420    EvEMS_Accelerator := 18
   0.009040    EvEMS_Accelerator := 22
   0.005010    EvEMS_Accelerator := 24
   0.009250    EvEMS_Accelerator := 27
   0.001280    EvEMS_Accelerator := 31
   0.008720    EvEMS_Accelerator := 33
   0.010000    EvEMS_Accelerator := 35
   0.010000    EvEMS_Accelerator := 38
   0.010000    EvEMS_Accelerator := 40
   0.001280    EvEMS_Accelerator := 41
   0.008720    EvEMS_Accelerator := 43
   0.010000    EvEMS_Accelerator := 45
   0.010000    EvEMS_Accelerator := 47
   0.010000    EvEMS_Accelerator := 49
   0.020000    EvEMS_Accelerator := 50
   0.020000    EvEMS_Accelerator := 51
   0.010000    EvEMS_Accelerator := 53
   0.020000    EvEMS_Accelerator := 54
   0.010000    EvEMS_Accelerator := 56
   0.015520    EvEMS_Accelerator := 57
   0.010300    EvEMS_Accelerator := 58
   0.004180    EvEMS_Accelerator := 59
   0.010000    EvEMS_Accelerator := 60
   0.001940    EvEMS_Accelerator := 61
   0.018060    EvEMS_Accelerator := 63
   0.020000    EvEMS_Accelerator := 65
   1.290000    EvTECU_ShiftUp := 1
   0.100000    EvTECU_ShiftUp := 0
   2.790000    EvEMS_Accelerator := 66
   0.050000    EvEMS_Accelerator := 67
   0.010760    EvEMS_Accelerator := 68
   0.000520    EvEMS_Accelerator := 69
   0.010610    EvEMS_Accelerator := 70
   0.008110    EvEMS_Accelerator := 72
   0.020000    EvEMS_Accelerator := 75
   0.001280    EvEMS_Accelerator := 76
   0.008720    EvEMS_Accelerator := 77
   0.020000    EvEMS_Accelerator := 79
   0.070000    EvEMS_Accelerator := 80
   0.073000    EvEMS_Accelerator := 81
   0.007000    EvEMS_Accelerator := 83
   0.020000    EvEMS_Accelerator := 84
   0.001280    EvEMS_Accelerator := 85
   0.018720    EvEMS_Accelerator := 86
   0.020000    EvEMS_Accelerator := 87
   0.121840    EvEMS_Accelerator := 88
   1.118160    EvTECU_ShiftUp := 1
   0.130000    EvTECU_ShiftUp := 0
   4.420000    EvEMS_Accelerator := 78
   0.770000    EvEMS_Accelerator := 79
   0.060000    EvEMS_Accelerator := 77
   0.010000    EvEMS_Accelerator := 75
   0.001280    EvEMS_Accelerator := 72
   0.008720    EvEMS_Accelerator := 71
   0.010000    EvEMS_Accelerator := 68
   0.010000    EvEMS_Accelerator := 66
   0.010000    EvEMS_Accelerator := 63
   0.001280    EvEMS_Accelerator := 61
   0.008720    EvEMS_Accelerator := 60
   0.010000    EvEMS_Accelerator := 59
   0.010000    EvEMS_Accelerator := 58
   0.015560    EvEMS_Accelerator := 57
   0.114440    EvEMS_Accelerator := 56
   0.210000    EvEMS_Accelerator := 57
   0.010000    EvEMS_Accelerator := 59
   0.020000    EvEMS_Accelerator := 60
   0.001280    EvEMS_Accelerator := 61
   0.018720    EvEMS_Accelerator := 63
   0.020000    EvEMS_Accelerator := 65
   0.016730    EvEMS_Accelerator := 67
   0.013270    EvEMS_Accelerator := 69
   0.010000    EvEMS_Accelerator := 70
   0.001280    EvEMS_Accelerator := 71
   0.018720    EvEMS_Accelerator := 74
   0.010000    EvEMS_Accelerator := 75
   0.010000    EvEMS_Accelerator := 76
   0.020000    EvEMS_Accelerator := 77
   0.020420    EvEMS_Accelerator := 78
   0.019580    EvEMS_Accelerator := 80
   0.180000    EvEMS_Accelerator := 79
   0.130000    EvEMS_Accelerator := 78
   0.020000    EvEMS_Accelerator := 77
   0.010000    EvEMS_Accelerator := 76
   0.001280    EvEMS_Accelerator := 75
   0.024300    EvEMS_Accelerator := 72
   0.015200    EvEMS_Accelerator := 71
   0.000500    EvEMS_Accelerator := 70
   0.118720    EvEMS_Accelerator := 72
   0.020000    EvEMS_Accelerator := 74
   0.020000    EvEMS_Accelerator := 76
   0.010000    EvEMS_Accelerator := 77
   0.015550    EvEMS_Accelerator := 78
   0.015170    EvEMS_Accelerator := 79
   0.009280    EvEMS_Accelerator := 80
   0.030000    EvEMS_Accelerator := 81
   0.020000    EvEMS_Accelerator := 83
   0.042930    EvEMS_Accelerator := 84
   0.037070    EvEMS_Accelerator := 85
   0.060490    EvEMS_Accelerator := 86
   0.029510    EvEMS_Accelerator := 87
   0.030000    EvEMS_Accelerator := 88
   0.090000    EvEMS_Accelerator := 89
   0.600000    EvTECU_ShiftUp := 1
   0.080000    EvTECU_ShiftUp := 0
