date Fri Jan 30 02:55:02 pm 2009
base dec  timestamps relative
internal events logged
   7.766336    EnvEMS_Accelerator := 1
   1.134820    EnvEMS_Accelerator := 1
   0.160544    EnvEMS_Accelerator := 2
   1.088300    EnvTECU_ShiftUp := 1
   0.081144    EnvTECU_ShiftUp := 0
   1.033460    EnvEMS_Accelerator := 2
   0.356540    EnvEMS_Accelerator := 3
   0.131152    EnvEMS_Accelerator := 4
   0.678848    EnvEMS_Accelerator := 5
   1.360000    EnvEMS_Accelerator := 6
   1.50000    EnvEMS_Accelerator := 7
   1.290000    EnvEMS_Accelerator := 8
   0.500000    EnvEMS_Accelerator := 5
   0.079436    EnvEMS_Accelerator := 4
   0.020556    EnvEMS_Accelerator := 3
   0.010004    EnvEMS_Accelerator := 2
   0.010972    EnvEMS_Accelerator := 0
   0.010604    EnvTECU_ShiftUp := 1
   0.086544    EnvTECU_ShiftUp := 0
   0.018868    EnvEMS_Accelerator := 1
   0.030012    EnvEMS_Accelerator := 3
   0.290000    EnvEMS_Accelerator := 5
   0.421152    EnvEMS_Accelerator := 6
   0.821152    EnvEMS_Accelerator := 7
   1.721152    EnvEMS_Accelerator := 8
  13.080556    EnvEMS_Accelerator := 5
   0.154028    EnvEMS_Accelerator := 2
   0.025972    EnvEMS_Accelerator := 0
   0.060012    EnvTECU_ShiftUp := 1
   0.117692    EnvTECU_ShiftUp := 0
   0.070004    EnvEMS_Accelerator := 2
   0.171716    EnvEMS_Accelerator := 6
   0.250564    EnvEMS_Accelerator := 7
   0.328844    EnvEMS_Accelerator := 8
   0.560000    EnvEMS_Accelerator := 9
   1.090012    EnvEMS_Accelerator := 10
   6.510008    EnvEMS_Accelerator := 2
   0.025972    EnvEMS_Accelerator := 0
   0.060012    EnvTECU_ShiftUp := 1
   0.087692    EnvTECU_ShiftUp := 0
   0.171716    EnvEMS_Accelerator := 6
   0.250564    EnvEMS_Accelerator := 7
   0.854028    EnvEMS_Accelerator := 9
   1.090012    EnvEMS_Accelerator := 10
   5.510008    EnvEMS_Accelerator := 2
   0.025972    EnvEMS_Accelerator := 0
   0.064028    EnvTECU_ShiftUp := 1
   0.085964    EnvTECU_ShiftUp := 0
   0.271716    EnvEMS_Accelerator := 6
   0.371716    EnvEMS_Accelerator := 7
   0.571716    EnvEMS_Accelerator := 8
   1.150004    EnvEMS_Accelerator := 9
   9.543448    EnvEMS_Accelerator := 8
   3.316556    EnvTPMS_Rear1RightPressure := 796
   0.839996    EnvTPMS_Rear1RightPressure := 792
   0.580024    EnvTPMS_Rear1RightPressure := 788
   0.429992    EnvTPMS_Rear1RightPressure := 784
   0.339984    EnvTPMS_Rear1RightPressure := 780
   0.210004    EnvTPMS_Rear1RightPressure := 776
   0.220020    EnvTPMS_Rear1RightPressure := 772
   0.239984    EnvTPMS_Rear1RightPressure := 768
   0.229992    EnvTPMS_Rear1RightPressure := 764
   0.250000    EnvTPMS_Rear1RightPressure := 760
   0.245180    EnvTPMS_Rear1RightPressure := 756
   0.214824    EnvTPMS_Rear1RightPressure := 752
   0.287524    EnvTPMS_Rear1RightPressure := 748
   0.262472    EnvTPMS_Rear1RightPressure := 744
   0.260004    EnvTPMS_Rear1RightPressure := 740
   0.263496    EnvTPMS_Rear1RightPressure := 736
   0.216500    EnvTPMS_Rear1RightPressure := 732
   0.230024    EnvTPMS_Rear1RightPressure := 728
